Actividad,Tarea,Descripción,Horas PM,Horas Líder Técnico,Horas Dev Frontend,Horas Dev Backend,Horas Data Science,Horas QA,Horas Comercial,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,,# Meses,# HH,Total HH,
Descubrimiento y análisis funcional del MVP,Workshop inicial de negocio agro-ganadero,"Reuniones con cliente para entender modelo agro-ganadero, tipos de explotación, requisitos regulatorios (libro ganadero, cuaderno de campo) y visión de producto.",8,3,0,0,4,0,3,X,,,,,,,1,18,18,
,Levantamiento detallado de requisitos y casos de uso,"Entrevistas y sesiones para levantar flujos clave (altas/bajas, tratamientos, fertilización, reportes) y documentar historias de usuario del MVP.",14,6,0,0,4,0,0,X,X,,,,,,2,24,48,
,"Modelado de procesos clave (agricultura, ganadería, reportes)","Diagramar procesos AS-IS y TO-BE, con foco en digitalización de registros y generación automática de libros/cuadernos.",8,6,0,0,6,0,0,X,X,,,,,,2,20,40,
,Definición de alcance y backlog del MVP,"Priorización de funcionalidades, definición de criterios de aceptación y roadmap de versiones futuras.",11,4,0,0,3,0,0,,X,,,,,,1,18,18,
UX/UI y prototipado web responsivo,Definición de lineamientos visuales y design system,"Definir paleta, componentes UI (tablas, formularios, KPIs, mapas esquemáticos) y principios de diseño responsive para escritorio/móvil.",4,4,12,0,0,0,0,X,X,,,,,,2,20,40,
,Wireframes de alto nivel para módulos,"Crear wireframes para login, dashboard, agricultura (parcelas, tratamientos), ganadería (libro), y reportería.",4,3,14,0,0,0,0,X,X,,,,,,2,21,42,
,Mockups detallados y prototipo navegable,Pasar wireframes a mockups high-fidelity (como el HTML que hicimos) y un prototipo navegable para validación con el cliente.,4,3,16,0,0,0,0,,X,X,,,,,2,23,46,
,Ajustes UX tras feedback cliente,Iteraciones de diseño tras pruebas internas/cliente para asegurar fluidez en flujos clave.,3,3,11,0,0,0,0,,,X,,,,,1,17,17,
Arquitectura técnica y preparación de entornos,Definición arquitectura lógica y tecnológica,"Selección de stack (Frontend SPA/SSR, API REST, BD relacional), definición capas y patrones (autenticación, logging, auditoría).",6,11,0,0,0,0,0,X,X,,,,,,2,17,34,
,Diseño modelo de datos base,"Modelo entidad–relación para parcelas SIGPAC, animales (DIB), movimientos, tratamientos, fertilización y logs de actividad.",4,7,0,0,4,0,0,X,X,,,,,,2,15,30,
,Configuración de entornos y CI/CD básica,"Creación de entornos dev/test/demo, pipelines de build/deploy, gestión de variables de entorno y backups iniciales.",3,7,0,8,0,0,0,X,X,,,,,,2,18,36,
,"Diseño de seguridad, roles y autenticación","Definir esquema de roles (admin, técnico, consultor), seguridad a nivel API y mecanismo de login (JWT/OAuth) para el MVP.",4,7,0,6,0,0,0,,X,,,,,,1,17,17,
Desarrollo core plataforma web,Implementación de login y gestión de usuarios,"Desarrollo de pantalla de login, gestión básica de usuarios y asociación a explotaciones (REGA) para acceso al sistema.",3,4,12,14,0,0,0,,X,X,,,,,2,33,66,
,"Layout general, navegación y responsive","Implementar layout con menú superior, lateral y tercer nivel, asegurando usabilidad en desktop y móvil.",3,4,16,6,0,0,0,,X,X,,,,,2,29,58,
,Gestión de catálogos y datos maestros,"Crear catálogos de cultivos, razas, tipos de movimientos, tipos de tratamientos, unidades, etc. (CRUD simples).",3,4,7,11,0,0,0,,X,X,,,,,2,25,50,
,Configuración por explotación y parámetros de exportación,"Pantallas para ajustar parámetros de explotación (formato de libros, comunidad autónoma, unidades, etc.).",3,4,7,11,0,0,0,,,X,X,,,,2,25,50,
"Desarrollo módulo Agricultura (SIGPAC, tratamientos y fertilización)",CRUD de parcelas vinculadas a SIGPAC,"Implementar listado, alta/edición/baja de parcelas, con campos SIGPAC y alias interno; enlazar con mapa esquemático.",3,4,16,12,0,0,0,,,X,X,,,,2,35,70,
,Registro de tratamientos fitosanitarios (alta),"Formularios para registrar tratamientos (producto, dosis, superficie, aplicador, carnet, motivo), vinculados a parcela/cultivo.",3,4,15,12,0,0,0,,,X,X,,,,2,34,68,
,Consulta de tratamientos fitosanitarios,"Listados filtrables por año, parcela, cultivo, producto, con opción de exportar a Excel.",3,3,11,7,0,0,0,,,,X,,,,1,24,24,
,Registro de fertilización y plan de abonado,"Formularios para fertilización (producto, dosis, superficie) y vista de plan de abonado por cultivo/parcela.",3,3,12,8,0,0,0,,,X,X,,,,2,26,52,
,Historial de actividades agrícolas y datos para Cuaderno de Campo,"Vista consolidada de actividades (siembra, tratamientos, fertilización) y preparación de estructura de datos para el Cuaderno de Campo.",3,3,11,8,3,0,0,,,,X,X,,,2,28,56,
Desarrollo módulo Ganadería (Libro Registro),Registro de altas y bajas de animales,"Implementar altas/bajas (nacimientos, compras, ventas, muertes) con DIB, sexo, raza, origen/destino, madre/padre.",3,4,14,14,0,0,0,,,X,X,,,,2,35,70,
,Registro de tratamientos veterinarios (alta y consulta),"Formularios y listados para tratamientos (medicamento, dosis, vía, periodo de retiro, veterinario), por DIB.",3,4,14,12,0,0,0,,,X,X,,,,2,33,66,
,Registro de alimentos suministrados,"Pantalla para registrar compras de alimento, lotes, cantidades y proveedor, asociando a la explotación.",3,3,11,10,0,0,0,,,,X,X,,,2,27,54,
,Definición de estructura de Libro Registro Ganadero,"Configurar estructura interna del libro (secciones, columnas, orden) según requisitos generales y por CCAA.",3,6,7,11,3,0,0,,,,X,X,,,2,30,60,
,Generación básica de archivo de Libro Ganadero,Implementar exportador que genere Libro Ganadero en PDF/Excel a partir de los registros del sistema.,3,6,6,14,3,0,0,,,,,X,X,,2,32,64,
Reportería y dashboards,Definición de KPIs agro-ganaderos del MVP,"Definir indicadores (nº animales activos, tratamientos por periodo, ha tratadas, etc.) y criterios de cálculo.",3,3,0,0,10,0,0,,,,X,,,,1,16,16,
,Implementación de dashboard resumen agro-ganadero,"Desarrollar dashboard de inicio con KPIs clave, tarjetas de resumen y alertas (como en mockup).",3,4,14,7,6,0,0,,,,X,X,,,2,34,68,
,Implementación de vistas de libros oficiales y Cuaderno de Campo,"Vistas de generación de Libro Ganadero y Cuaderno de Campo, con selección de año/CCAA y acciones de exportación.",3,4,12,10,3,0,0,,,,X,X,,,2,32,64,
,Módulo de exportaciones y descargas,Desarrollo de centro de descargas para PDFs/Excels y lógica de generación bajo demanda.,3,4,7,11,0,0,0,,,,,X,,,1,25,25,
"QA, pruebas con usuario y despliegue",Diseño del plan de pruebas y casos de prueba,"Definir estrategia de pruebas, casos funcionales y criterios de aceptación por módulo.",4,3,0,0,0,7,0,,,,X,,,,1,14,14,
,"Pruebas funcionales, regresión y corrección de bugs","Ejecución de pruebas, registro de incidencias, priorización y corrección de bugs en frontend/backend.",3,3,7,7,0,16,0,,,,X,X,,,2,36,72,
,Pruebas de seguridad básica y rendimiento,"Validación básica de roles, accesos, protección de datos y rendimiento en escenarios simples.",3,6,3,7,0,7,0,,,,,X,,,1,26,26,
,Soporte a pruebas de usuario (UAT) y ajustes finales,"Acompañar al cliente en pruebas UAT, recoger feedback y aplicar ajustes finales del MVP.",4,4,6,6,0,7,0,,,,,X,X,,2,27,54,
,Preparación de despliegue y documentación,"Configurar despliegue inicial, preparar documentación técnica básica y manual rápido de uso para clientes piloto.",4,4,4,6,0,3,0,,,,,,X,,1,21,21,
Comercialización y lanzamiento del MVP,Definición de propuesta de valor y pricing,"Definir propuesta de valor del MVP (beneficios vs. libro/cuaderno manual), segmentos objetivo y modelo de precios.",4,0,0,0,0,0,7,,,,X,,,,1,11,11,
,Preparación de material comercial y demo,"Crear presentación, one-pager, argumentario comercial y script de demo usando el entorno demo de AgroApp.",3,0,3,0,0,0,8,,,,X,X,,,2,14,28,
,Identificación y contacto con explotaciones piloto,Seleccionar primeras explotaciones agro-ganaderas objetivo y realizar prospección/comunicación inicial.,2,0,0,0,0,0,11,,,,,X,X,,2,13,26,
,Demos comerciales y negociación con pilotos,"Realizar demos personalizadas, recoger feedback de negocio y cerrar acuerdos de pilotos pagados o subvencionados.",2,0,0,0,0,0,14,,,,,X,X,,2,16,32,
,Feedback de mercado y roadmap post-MVP,"Consolidar feedback de clientes piloto, priorizar mejoras y definir backlog para siguientes versiones.",3,0,0,0,0,0,6,,,,,,X,,1,9,9,
,,Total HH,265,270,500,399,81,63,82,,,,,,,,,,1660,Total HH
,,Promedio HH mensual,44,45,83,67,14,11,14,,,,,,,,,,18.75  €,Valor HH
,,Promedio HH semanal,11,11,21,17,3,3,3,,,,,,,,,,"31,125.00  €",Total